Mission-Impossible-2	Paramount Pictures	Action
Gladiator-(2000)	Dreamworks SKG	Action
X-Men-(2000)	20th Century Fox	Action
Charlies-Angels	Sony Pictures	Action
Gone-in-60-Seconds	Walt Disney	Action
U-571	Universal	Action
Shaft	Paramount Pictures	Action
Romeo-Must-Die	Warner Bros.	Action
6th-Day-The	Sony Pictures	Action
Proof-of-Life	Warner Bros.	Action
Reindeer-Games	Miramax	Action
Battlefield-Earth-A-Saga-of-the-Year-3000	Warner Bros.	Action
Red-Planet	Warner Bros.	Action
Bait	Warner Bros.	Action
Get-Carter	Warner Bros.	Action
Crouching-Tiger-Hidden-Dragon	Sony Pictures Cla…	Action
Highlander-Endgame	Miramax/Dimension	Action
Legend-of-Drunken-Master-The	Miramax	Action
Godzilla-2000	Sony Pictures	Action
World-is-Not-Enough-The	MGM	Action
Way-of-the-Gun-The	Artisan	Action
End-of-Days	Universal	Action
Double-Jeopardy	Paramount Pictures	Action
Taxi-2	Lionsgate	Action
Blue-Streak	Sony Pictures	Action
Omega-Code-The	Providence Entert…	Action
Circulo-Vicioso-El		Action
Boondock-Saints-The	Indican Pictures	Action
Specials-The		Action
Pups		Action
Rush-Hour-2	New Line	Action
Pearl-Harbor	Walt Disney	Action
Jurassic-Park-3	Universal	Action
Fast-and-the-Furious-The	Universal	Action
Crouching-Tiger-Hidden-Dragon	Sony Pictures Cla…	Action
Swordfish	Warner Bros.	Action
Mexican-The	Dreamworks SKG	Action
Spy-Game	Universal	Action
Behind-Enemy-Lines-(2001)	20th Century Fox	Action
Exit-Wounds	Warner Bros.	Action
One-The-(2001)	Sony Pictures	Action
Kiss-of-the-Dragon	20th Century Fox	Action
Driven	Warner Bros.	Action
Double-Take-(2001)	Walt Disney	Action
Heist-(2001)	New Line	Action
3000-Miles-to-Graceland	Warner Bros.	Action
Iron-Monkey	Miramax	Action
John-Carpenters-Ghosts-of-Mars	Screen Media Films	Action
Megiddo-Omega-Code-2	8X Entertainment	Action
Apocalypse-Now	United Artists	Action
Proof-of-Life	Warner Bros.	Action
Charlies-Angels	Sony Pictures	Action
Gladiator-(2000)	Dreamworks SKG	Action
Extreme-Days	Providence Entert…	Action
Black-Hawk-Down	Sony Pictures	Action
Pacte-des-loups-Le		Action
6th-Day-The	Sony Pictures	Action
Red-Planet	Warner Bros.	Action
Time-and-Tide		Action
Vampire-Hunter-D-Bloodlust		Action
Bangkok-Dangerous-(1999)	First Look	Action
Akira-(1988)		Action
Taxi-2	Lionsgate	Action
Men-in-Black-2	Sony Pictures	Action
Die-Another-Day	MGM	Action
xXx	Sony Pictures	Action
Minority-Report	20th Century Fox	Action
Sum-of-All-Fears-The	Paramount Pictures	Action
Black-Hawk-Down	Sony Pictures	Action
Scorpion-King-The	Universal	Action
Blade-2	New Line	Action
Tuxedo-The	Dreamworks SKG	Action
Reign-of-Fire	Walt Disney	Action
Windtalkers	MGM	Action
Collateral-Damage	Warner Bros.	Action
K-19-The-Widowmaker	Paramount Pictures	Action
I-Spy	Sony Pictures	Action
Bad-Company-(2002)	Walt Disney	Action
Transporter-The	20th Century Fox	Action
Rollerball	MGM	Action
Half-Past-Dead	Sony Pictures	Action
Ballistic-Ecks-vs-Sever	Warner Bros.	Action
Pacte-des-loups-Le		Action
Formula-51	Screen Media Films	Action
Behind-Enemy-Lines-(2001)	20th Century Fox	Action
Extreme-Ops	Paramount Pictures	Action
State-Property	Lionsgate	Action
Equilibrium	Miramax/Dimension	Action
Spy-Game	Universal	Action
Metropolis-(Germany)-(1927)	Paramount Pictures	Action
Shichinin-no-samurai	Cowboy Pictures	Action
Snipes		Action
Master-of-the-Flying-Guillotine		Action
Outta-Time		Action
Bangkok-Dangerous-(1999)	First Look	Action
Matrix-Reloaded-The	Warner Bros.	Action
X-Men-2-(2003)	20th Century Fox	Action
Terminator-3-Rise-of-the-Machines	Warner Bros.	Action
Bad-Boys-II	Sony Pictures	Action
Matrix-Revolutions-The	Warner Bros.	Action
Hulk	Universal	Action
2-Fast-2-Furious	Universal	Action
SWAT-(2003)	Sony Pictures	Action
Daredevil	20th Century Fox	Action
Charlies-Angels-Full-Throttle	Sony Pictures	Action
Last-Samurai-The	Warner Bros.	Action
Kill-Bill-Volume-1	Miramax	Action
Once-Upon-a-Time-in-Mexico	Sony Pictures	Action
Underworld-(2003)	Sony Pictures	Action
Rundown-The	Universal	Action
Tears-of-the-Sun	Sony Pictures	Action
National-Security	Sony Pictures	Action
Cradle-2-the-Grave	Warner Bros.	Action
Hunted-The-(2003)	Paramount Pictures	Action
Core-The	Paramount Pictures	Action
Hollywood-Homicide	Sony Pictures	Action
Man-Apart-A	New Line	Action
Bulletproof-Monk	MGM	Action
Medallion-The	Sony Pictures	Action
Biker-Boyz	Dreamworks SKG	Action
Die-Another-Day	MGM	Action
Cowboy-Bebop	Sony Pictures	Action
I-Spy	Sony Pictures	Action
Legend-of-Suriyothai-The		Action
Tuxedo-The	Dreamworks SKG	Action
Khushi		Action
Steal-(Canadian-Release)		Action
Half-Past-Dead	Sony Pictures	Action
Shichinin-no-samurai	Cowboy Pictures	Action
Princess-Blade-The	ADV Films	Action
Metropolis-(Germany)-(1927)	Paramount Pictures	Action
Extreme-Ops	Paramount Pictures	Action
Fulltime-Killer-(2001)		Action
Transporter-The	20th Century Fox	Action
I-Robot	20th Century Fox	Action
Troy	Warner Bros.	Action
Van-Helsing	Universal	Action
Collateral	Dreamworks SKG	Action
AVP-Alien-Vs-Predator	20th Century Fox	Action
Kill-Bill-Volume-2	Miramax	Action
Hellboy	Sony Pictures	Action
Jet-Lis-Hero	Miramax	Action
Blade-Trinity-(2004)	New Line	Action
Walking-Tall	MGM	Action
Catwoman	Warner Bros.	Action
Taxi-(2004)	20th Century Fox	Action
Alexander	Warner Bros.	Action
Punisher-The	Lionsgate	Action
After-the-Sunset	New Line	Action
Torque	Warner Bros.	Action
Last-Samurai-The	Warner Bros.	Action
House-of-Flying-Daggers	Sony Pictures Cla…	Action
Ghost-in-the-Shell-2-Innocence	DreamWorks/Go Fish	Action
Matrix-Revolutions-The	Warner Bros.	Action
Zatoichi	Miramax	Action
Kill-Bill-Volume-1	Miramax	Action
Silmido	Cinema Service	Action
Dhoom	Yash Raj Films	Action
Warriors-of-Heaven-and-Earth	Sony Pictures	Action
Underworld-(2003)	Sony Pictures	Action
Sky-Blue	Maxmedia/Endgame	Action
Once-Upon-a-Time-in-the-Hood	Maverick Entertai…	Action
War-of-the-Worlds	Paramount Pictures	Action
Batman-Begins	Warner Bros.	Action
Mr-and-Mrs-Smith	20th Century Fox	Action
Fantastic-Four-(2005)	20th Century Fox	Action
Constantine	Warner Bros.	Action
Kingdom-of-Heaven	20th Century Fox	Action
Transporter-2-The	20th Century Fox	Action
Island-The-(2005)	Dreamworks SKG	Action
Hostage	Miramax	Action
Stealth	Sony Pictures	Action
XXX-State-of-the-Union	Sony Pictures	Action
Serenity	Universal	Action
