How the Grinch Stole Christmas	Universal	Adventure
Dinosaur	Walt Disney	Adventure
Cast Away	20th Century Fox	Adventure
Chicken Run	Dreamworks SKG	Adventure
Space Cowboys	Warner Bros.	Adventure
Rugrats in Paris	Paramount Pictures	Adventure
Mission to Mars	Walt Disney	Adventure
Stuart Little	Sony Pictures	Adventure
Snow Day	Paramount Pictures	Adventure
102 Dalmatians	Walt Disney	Adventure
"The Emperor's New Groove"	Walt Disney	Adventure
The Road to El Dorado	Dreamworks SKG	Adventure
The Tigger Movie	Walt Disney	Adventure
Galaxy Quest	Dreamworks SKG	Adventure
Pokemon 2000	Warner Bros.	Adventure
Toy Story 2	Walt Disney	Adventure
The Flintstones in Viva Roc…	Universal	Adventure
The Adventures of Rocky & B…	Universal	Adventure
Titan A.E.	20th Century Fox	Adventure
Thomas and the Magic Railroad	Destination Films	Adventure
Dungeons and Dragons	New Line	Adventure
The Little Vampire	New Line	Adventure
Digimon: The Movie	20th Century Fox	Adventure
T-Rex: Back to the Cretaceous	IMAX Films	Adventure
Cyberworld 3D	IMAX Films	Adventure
Alien Adventure	nWave Pictures	Adventure
Pokemon: The First Movie	Warner Bros.	Adventure
MVP: Most Valuable Primate	Keystone Entertai…	Adventure
Star Wars Ep. I: The Phanto…	20th Century Fox	Adventure
Across The Sea of Time	Sony Pictures Cla…	Adventure
Tarzan	Walt Disney	Adventure
Kirikou and the Sorceress	ArtMattan Films	Adventure
Sinbad: Beyond the Veil of …	Phaedra Cinema	Adventure
Harry Potter and the Sorcer…	Warner Bros.	Adventure
Shrek	Dreamworks SKG	Adventure
"Monsters, Inc."	Walt Disney	Adventure
The Lord of the Rings: The …	New Line	Adventure
The Mummy Returns	Universal	Adventure
Planet of the Apes	20th Century Fox	Adventure
Lara Croft: Tomb Raider	Paramount Pictures	Adventure
Cast Away	20th Century Fox	Adventure
Dr. Dolittle 2	20th Century Fox	Adventure
Spy Kids	Miramax/Dimension	Adventure
Atlantis: The Lost Empire	Walt Disney	Adventure
Jimmy Neutron: Boy Genius	Paramount Pictures	Adventure
A Knight’s Tale	Sony Pictures	Adventure
"The Emperor's New Groove"	Walt Disney	Adventure
"Recess: School's Out"	Walt Disney	Adventure
See Spot Run	Warner Bros.	Adventure
Final Fantasy: The Spirits …	Sony Pictures	Adventure
