Meet-the-Parents	Universal	Comedy
Scary-Movie	Miramax/Dimension	Comedy
Nutty-Professor-II-The-Klumps	Universal	Comedy
Big-Mommas-House	20th Century Fox	Comedy
Kid-The	Walt Disney	Comedy
Road-Trip	Dreamworks SKG	Comedy
Bring-it-On	Universal	Comedy
Whole-Nine-Yards-The	Warner Bros.	Comedy
Next-Friday	New Line	Comedy
Miss-Congeniality	Warner Bros.	Comedy
Replacements-The	Warner Bros.	Comedy
Family-Man-The	Universal	Comedy
Little-Nicky-(2000)	New Line	Comedy
Bedazzled	20th Century Fox	Comedy
28-Days	Sony Pictures	Comedy
Hanging-Up	Sony Pictures	Comedy
Dude-Wheres-My-Car	20th Century Fox	Comedy
Almost-Famous	Dreamworks SKG	Comedy
High-Fidelity	Walt Disney	Comedy
Wonder-Boys	Paramount Pictures	Comedy
Deuce-Bigalow-Male-Gigolo	Walt Disney	Comedy
Small-Time-Crooks	Dreamworks SKG	Comedy
Best-in-Show	Warner Bros.	Comedy
Drowning-Mona	Destination Films	Comedy
Ladies-Man-The-(2000)	Paramount Pictures	Comedy
Crew-The	Walt Disney	Comedy
Ready-to-Rumble	Warner Bros.	Comedy
Saving-Grace	Fine Line	Comedy
Lucky-Numbers	Paramount Pictures	Comedy
3-Strikes	MGM	Comedy
Play-it-to-the-Bone	Walt Disney	Comedy
Screwed	Universal	Comedy
What-Planet-Are-You-From	Sony Pictures	Comedy
Where-the-Money-Is	USA Films	Comedy
Held-Up	Trimark	Comedy
East-is-East	Miramax	Comedy
Whipped	Destination Films	Comedy
Isnt-She-Great	Universal	Comedy
But-I-m-a-Cheerleader	Lionsgate	Comedy
O-Brother-Where-Art-Thou	Walt Disney	Comedy
Vie-Apres-L-Amour-La	Alliance Atlantis	Comedy
Broken-Hearts-Club-A-Romantic-Comedy-The	Sony Pictures Cla…	Comedy
Dogma	Lionsgate	Comedy
Gun-Shy	Walt Disney	Comedy
State-and-Main	Fine Line	Comedy
Groove	Sony Pictures Cla…	Comedy
Catfish-in-Black-Bean-Sauce	Phaedra Cinema	Comedy
Cup-The	Fine Line	Comedy
Simpatico	Phaedra Cinema	Comedy
New-Waterford-Girl	Alliance Atlantis	Comedy
Hard-Days-Night-A	Universal	Comedy
Superstar	Paramount Pictures	Comedy
Luminarias		Comedy
Smiling-Fish-and-Goat-on-Fire		Comedy
Psycho-Beach-Party		Comedy
Beautiful-People	Trimark	Comedy
