The Perfect Storm	Warner Bros.	Drama
Erin Brockovich	Universal	Drama
Remember the Titans	Walt Disney	Drama
The Patriot	Sony Pictures	Drama
Rules of Engagement	Paramount Pictures	Drama
Coyote Ugly	Walt Disney	Drama
The Green Mile	Warner Bros.	Drama
American Beauty	Dreamworks SKG	Drama
The Cider House Rules	Miramax	Drama
The Hurricane	Universal	Drama
Men of Honor	20th Century Fox	Drama
The Beach	20th Century Fox	Drama
Autumn in New York	MGM	Drama
Bounce	Miramax	Drama
My Dog Skip	Warner Bros.	Drama
Where the Heart Is	20th Century Fox	Drama
Pay it Forward	Warner Bros.	Drama
The Legend of Bagger Vance	Dreamworks SKG	Drama
Any Given Sunday	Warner Bros.	Drama
"Girl, Interrupted"	Sony Pictures	Drama
Love & Basketball	New Line	Drama
Magnolia	New Line	Drama
Bicentennial Man	Walt Disney	Drama
Center Stage	Sony Pictures	Drama
Billy Elliot	Focus Features	Drama
Boiler Room	New Line	Drama
The Next Best Thing	Paramount Pictures	Drama
Anna and the King	20th Century Fox	Drama
Snow Falling on Cedars	Universal	Drama
"Angela's Ashes"	Paramount Pictures	Drama
Here on Earth	20th Century Fox	Drama
Man on the Moon	Universal	Drama
The End of the Affair	Sony Pictures	Drama
"Boys Don't Cry"	Fox Searchlight	Drama
I Dreamed of Africa	Sony Pictures	Drama
Croupier	Shooting Gallery	Drama
Todo sobre mi madre	Sony Pictures Cla…	Drama
Finding Forrester	Sony Pictures	Drama
Black and White	Sony Pictures	Drama
Gossip	Warner Bros.	Drama
Sunshine	Paramount Vantage	Drama
Duets	Walt Disney	Drama
Chocolat	Miramax	Drama
You Can Count on Me	Paramount Vantage	Drama
Price of Glory	New Line	Drama
Quills	Fox Searchlight	Drama
Ghost Dog: The Way of the S…	Artisan	Drama
The Big Kahuna	Lionsgate	Drama
Beautiful	Destination Films	Drama
Up at the Villa	Focus Features	Drama
The Insider	Walt Disney	Drama
Requiem for a Dream	Artisan	Drama
"God's Army"	Excel Entertainment	Drama
East-West	Sony Pictures	Drama
Mansfield Park	Miramax	Drama
Bamboozled	New Line	Drama
Cradle Will Rock	Walt Disney	Drama
La lengua de las mariposas	Miramax	Drama
Titus	20th Century Fox	Drama
The Straight Story	Walt Disney	Drama
The Color of Paradise	Sony Pictures Cla…	Drama
Holy Smoke	Miramax	Drama
Hamlet	Miramax	Drama
Girlfight	Sony Pictures	Drama
Liberty Heights	Warner Bros.	Drama
"Jesus' Son"	Lionsgate	Drama
Turn It Up	New Line	Drama
Shower	Sony Pictures Cla…	Drama
Jing ke ci qin wang	Sony Pictures Cla…	Drama
Time Code	Sony Pictures	Drama
Chuck&Buck	Artisan	Drama
"What's Cooking"	Lionsgate	Drama
Urbania	Lionsgate	Drama
Two Family House	Lionsgate	Drama
La otra conquista	Hombre de Oro	Drama
Encounter in the Third Dime…	nWave Pictures	Drama
The Yards	Miramax	Drama
Aimée & Jaguar	Zeitgeist	Drama
Passion of Mind	Paramount Vantage	Drama
Alice et Martin	October Films	Drama
Place Vendome	Empire Pictures	Drama
Kadosh	Kino International	Drama
The Third Miracle	Sony Pictures	Drama
Goya in Bordeaux	Sony Pictures Cla…	Drama
"Joe Gould's Secret"	Focus Features	Drama
Fiza	Video Sound	Drama
Refugee	Yash Raj Films	Drama
Yi Ge Dou Bu Neng Shao	Sony Pictures Cla…	Drama
Mifune	Sony Pictures Cla…	Drama
The Opportunists	First Look	Drama
The Basket	MGM	Drama
A Time for Drunken Horses	Shooting Gallery	Drama
A Map of the World	USA Films	Drama
Fight Club	20th Century Fox	Drama
Dekalog	New Yorker	Drama
Malena	Miramax	Drama
The Last September		Drama
Time Regained		Drama
Anywhere But Here	20th Century Fox	Drama
Josh	Eros Entertainment	Drama
8 ½ Women	Lionsgate	Drama
Traffic	USA Films	Drama
Yi Yi	WellSpring	Drama
Solas		Drama
Une Liaison pornographique	Fine Line	Drama
Thirteen Days	New Line	Drama
Beau Travail	New Yorker	Drama
Tumbleweeds	Fine Line	Drama
Before Night Falls	Fine Line	Drama
The Tic Code		Drama
Bulandi		Drama
Kikujiro		Drama
The War Zone	Lot 47 Films	Drama
Left Luggage	Castle Hill Produ…	Drama
"Cleopatra's Second Husband"	Indican Pictures	Drama
Mercy Streets		Drama
The Limey	Artisan	Drama
The House of Mirth	Sony Pictures Cla…	Drama
The Silence	New Yorker	Drama
Pola X		Drama
Shadow of the Vampire	Lionsgate	Drama
Un pont entre deux rives	Phaedra Cinema	Drama
Tigerland	20th Century Fox	Drama
Hum to Mohabbt Karega		Drama
The Messenger: The Story of…	Sony Pictures	Drama
La ciudad	Zeitgeist	Drama
"Boricua's Bond"	Focus Features	Drama
Boys Life 3	Strand	Drama
Music of the Heart	Miramax	Drama
The King of Masks	Goldwyn Entertain…	Drama
Flawless	MGM	Drama
Panic	Roxie Releasing	Drama
Le grand bleu	Sony Pictures	Drama
Rosetta	USA Films	Drama
Beefcake	Strand	Drama
"Felicia's Journey"	Artisan	Drama
Titanic Town		Drama
Earth	Zeitgeist	Drama
à bout de souffle	Films Around the …	Drama
Luminous Motion		Drama
Light It Up	20th Century Fox	Drama
Pollock	Sony Pictures Cla…	Drama
Animal Factory		Drama
Madadayo	WinStar Cinema	Drama
"Himalaya - l'enfance d'un chef"	Kino International	Drama
Burlesk King	Strand	Drama
Last Night	Lionsgate	Drama
Boesman and Lena	Kino International	Drama
The Weekend		Drama
La Grande Illusion	Rialto Pictures	Drama
Wings of Courage	Sony Pictures Cla…	Drama
Wandafuru raifu	Artistic License	Drama
Diary of a Chambermaid		Drama
Chunhyang	Lot 47 Films	Drama
The Autumn Heart	Arrow Releasing	Drama
Family Tree		Drama
All About Eve	20th Century Fox	Drama
Claire Dolan	New Yorker	Drama
Harem Suare		Drama
The Visit		Drama
Babymother	Fine Line	Drama
Followers		Drama
Steam: The Turkish Bath	Strand	Drama
Le Chal Apne Sang	Eros Entertainment	Drama
The Trial of Old Drum		Drama
Eastside		Drama
Traffic	USA Films	Drama
Save the Last Dance	Paramount Pictures	Drama
Artificial Intelligence: AI	Warner Bros.	Drama
Chocolat	Miramax	Drama
Blow	New Line	Drama
Enemy at the Gates	Paramount Pictures	Drama
K-PAX	Universal	Drama
Ali	Sony Pictures	Drama
Finding Forrester	Sony Pictures	Drama
Hardball	Paramount Pictures	Drama
A Beautiful Mind	Universal	Drama
Thirteen Days	New Line	Drama
Riding in Cars with Boys	Sony Pictures	Drama
