What Women Want	Paramount Pictures	Romantic-Comedy
"Me, Myself & Irene"	20th Century Fox	Romantic-Comedy
Keeping the Faith	Walt Disney	Romantic-Comedy
Return to Me	MGM	Romantic-Comedy
Boys and Girls	Miramax	Romantic-Comedy
Down to You	Miramax	Romantic-Comedy
Loser	Sony Pictures	Romantic-Comedy
Dr. T and the Women	Artisan	Romantic-Comedy
Whatever it Takes	Sony Pictures	Romantic-Comedy
Woman on Top	Fox Searchlight	Romantic-Comedy
The Tao of Steve	Sony Pictures Cla…	Romantic-Comedy
Sweet and Lowdown	Sony Pictures Cla…	Romantic-Comedy
Bossa Nova	Sony Pictures Cla…	Romantic-Comedy
Girl on the Bridge	Paramount Vantage	Romantic-Comedy
The Best Man	Universal	Romantic-Comedy
"Me, Myself & I"	Sony Pictures Cla…	Romantic-Comedy
Love and Sex	Lionsgate	Romantic-Comedy
The Bachelor	New Line	Romantic-Comedy
"Love's Labour's Lost"	Miramax	Romantic-Comedy
Chal Mere Bhai	Eros Entertainment	Romantic-Comedy
Fever Pitch	Phaedra Cinema	Romantic-Comedy
Runaway Bride	Paramount Pictures	Romantic-Comedy
Mad About Mambo		Romantic-Comedy
Drive Me Crazy	20th Century Fox	Romantic-Comedy
"America's Sweethearts"	Sony Pictures	Romantic-Comedy
"Bridget Jones's Diary"	Miramax	Romantic-Comedy
Shallow Hal	20th Century Fox	Romantic-Comedy
What Women Want	Paramount Pictures	Romantic-Comedy
The Wedding Planner	Sony Pictures	Romantic-Comedy
Serendipity	Miramax	Romantic-Comedy
Kate and Leopold	Miramax	Romantic-Comedy
Someone Like You	20th Century Fox	Romantic-Comedy
Two Can Play That Game	Sony Pictures	Romantic-Comedy
Summer Catch	Warner Bros.	Romantic-Comedy
"Le Fabuleux destin d'Amélie…"	Miramax	Romantic-Comedy
Get Over It	Miramax	Romantic-Comedy
Head Over Heels	Universal	Romantic-Comedy
Town & Country	New Line	Romantic-Comedy
On the Line	Miramax	Romantic-Comedy
All Over the Guy	Lionsgate	Romantic-Comedy
American Desi	Eros Entertainment	Romantic-Comedy
Va Savoir (Who Knows?)	Sony Pictures Cla…	Romantic-Comedy
Happy Accidents	IFC Films	Romantic-Comedy
The Taste of Others	Miramax	Romantic-Comedy
Better than Sex	Samuel Goldwyn Films	Romantic-Comedy
Best Man in Grass Creek		Romantic-Comedy
Mademoiselle		Romantic-Comedy
Café Olé	Equinox	Romantic-Comedy
Let it Snow		Romantic-Comedy
Du pic au coeur		Romantic-Comedy
My Big Fat Greek Wedding	IFC Films	Romantic-Comedy
Maid in Manhattan	Sony Pictures	Romantic-Comedy
Two Weeks Notice	Warner Bros.	Romantic-Comedy
About a Boy	Universal	Romantic-Comedy
40 Days and 40 Nights	Miramax	Romantic-Comedy
Brown Sugar	20th Century Fox	Romantic-Comedy
