What Lies Beneath	Dreamworks SKG	Thriller-or-Suspense
Unbreakable	Walt Disney	Thriller-or-Suspense
The Cell	New Line	Thriller-or-Suspense
Vertical Limit	Sony Pictures	Thriller-or-Suspense
Frequency	New Line	Thriller-or-Suspense
The Talented Mr. Ripley	Paramount Pictures	Thriller-or-Suspense
The Skulls	Universal	Thriller-or-Suspense
The Art of War	Warner Bros.	Thriller-or-Suspense
The Watcher	Universal	Thriller-or-Suspense
The Ninth Gate	Artisan	Thriller-or-Suspense
The Contender	Dreamworks SKG	Thriller-or-Suspense
The Sixth Sense	Walt Disney	Thriller-or-Suspense
Eye of the Beholder	Destination Films	Thriller-or-Suspense
Supernova	MGM	Thriller-or-Suspense
The In Crowd	Warner Bros.	Thriller-or-Suspense
The Bone Collector	Universal	Thriller-or-Suspense
Blood Simple	USA Films	Thriller-or-Suspense
Trois	Rainforest Produc…	Thriller-or-Suspense
Du rififi chez les hommes		Thriller-or-Suspense
Under Suspicion		Thriller-or-Suspense
Baise-moi		Thriller-or-Suspense
Deterrence		Thriller-or-Suspense
With a Friend Like Harry	Miramax	Thriller-or-Suspense
Lola rennt	Sony Pictures Cla…	Thriller-or-Suspense
Taboo		Thriller-or-Suspense
The Gift	Paramount Vantage	Thriller-or-Suspense
The Thomas Crown Affair	MGM	Thriller-or-Suspense
Buddy Boy	Fine Line	Thriller-or-Suspense
Circus	Sony Pictures	Thriller-or-Suspense
The Quarry	First Run Features	Thriller-or-Suspense
"Brown's Requiem"	Avalanche Releasing	Thriller-or-Suspense
Placebo Effect	Phaedra Cinema	Thriller-or-Suspense
"Ocean's Eleven"	Warner Bros.	Thriller-or-Suspense
Vanilla Sky	Paramount Pictures	Thriller-or-Suspense
Training Day	Warner Bros.	Thriller-or-Suspense
Along Came a Spider	Paramount Pictures	Thriller-or-Suspense
The Score	Paramount Pictures	Thriller-or-Suspense
Don’t Say a Word	20th Century Fox	Thriller-or-Suspense
Domestic Disturbance	Paramount Pictures	Thriller-or-Suspense
From Hell	20th Century Fox	Thriller-or-Suspense
Memento	Newmarket Films	Thriller-or-Suspense
15 Minutes	New Line	Thriller-or-Suspense
Joy Ride	20th Century Fox	Thriller-or-Suspense
The Pledge	Warner Bros.	Thriller-or-Suspense
The Last Castle	Dreamworks SKG	Thriller-or-Suspense
The Glass House	Sony Pictures	Thriller-or-Suspense
Vertical Limit	Sony Pictures	Thriller-or-Suspense
Original Sin	MGM	Thriller-or-Suspense
